epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,11289,0.56407,1.23826,0.37363,0.86124,0.42579,0.16746,0.19851,0.09513,0.40953,0.16746,0.19743,0.07816,2.50694,4.00042,3.42744,1.93191,0.0003532,0.0003532,0.0003532
100,11404.7,0.56038,1.23821,0.39333,0.85802,0.40322,0.15311,0.20016,0.0933,0.41748,0.15789,0.19781,0.07268,2.66171,3.96105,3.64879,2.06107,0.0003466,0.0003466,0.0003466
101,11514.3,0.57122,1.22945,0.37178,0.85794,0.49118,0.14833,0.19469,0.0975,0.55833,0.15311,0.20004,0.08055,2.37081,3.97805,3.38501,1.8651,0.00034,0.00034,0.00034
102,11616.3,0.55154,1.21255,0.36797,0.86103,0.40985,0.16507,0.20093,0.09797,0.45111,0.16268,0.19943,0.07714,2.43038,3.92731,3.25522,1.90034,0.0003334,0.0003334,0.0003334
103,11736.3,0.57732,1.25617,0.39104,0.86004,0.42151,0.18651,0.19871,0.09382,0.409,0.17943,0.19219,0.07228,2.32694,4.02902,3.07282,1.89584,0.0003268,0.0003268,0.0003268
104,11848.4,0.55662,1.21189,0.37641,0.86126,0.44342,0.15311,0.18604,0.08536,0.44137,0.14933,0.18216,0.06482,2.4523,4.23784,3.3126,1.8648,0.0003202,0.0003202,0.0003202
105,11971,0.56383,1.23379,0.37857,0.8584,0.46731,0.1658,0.20519,0.10114,0.4825,0.1555,0.19577,0.07518,2.28333,4.02685,3.26922,1.84745,0.0003136,0.0003136,0.0003136
106,12113.5,0.56127,1.2089,0.37789,0.8616,0.47534,0.18421,0.18928,0.08858,0.40154,0.1866,0.18206,0.07013,2.44431,3.9153,3.10406,1.94849,0.000307,0.000307,0.000307
107,12229.9,0.54477,1.21817,0.36446,0.86629,0.44054,0.18182,0.20804,0.10196,0.45891,0.17943,0.21319,0.07167,2.38279,4.09689,2.94061,1.86176,0.0003004,0.0003004,0.0003004
108,12346.8,0.53556,1.19459,0.35376,0.85127,0.44836,0.18084,0.225,0.11594,0.44873,0.17943,0.22494,0.08308,2.41347,3.95755,3.07852,1.93897,0.0002938,0.0002938,0.0002938
